id,left_title,right_title,left_authors,right_authors,left_keywords,right_keywords
1,transparency and explainability of ai systems: ethical guidelines in practice,"artificial intelligence, intersectionality, and the future of public health","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","bauer gr,lizotte dj","ai systems,ethical guidelines,explainability,quality requirements,transparency","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice"
2,transparency and explainability of ai systems: ethical guidelines in practice,fairness & friends in the data science era,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","catania b,guerrini g,accinelli c","ai systems,ethical guidelines,explainability,quality requirements,transparency","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline"
3,transparency and explainability of ai systems: ethical guidelines in practice,a sociotechnical view of algorithmic fairness,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","dolata m,feuerriegel s,schwabe g","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art"
4,transparency and explainability of ai systems: ethical guidelines in practice,ai-enabled radio resource allocation in 5g for urllc and embb users,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","elsayed m,erol-kantarci m","ai systems,ethical guidelines,explainability,quality requirements,transparency","5g mobile communication,delays,quality of service,reliability,resource management,throughput"
5,transparency and explainability of ai systems: ethical guidelines in practice,beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","giovanola b,tiribelli s","ai systems,ethical guidelines,explainability,quality requirements,transparency","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect"
6,transparency and explainability of ai systems: ethical guidelines in practice,who is the fairest of them all? public attitudes and expectations regarding automated decision-making,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","helberger n,araujo t,de vreese ch","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,automated-decision making,public perceptions"
7,transparency and explainability of ai systems: ethical guidelines in practice,principal fairness for human and algorithmic decision-making,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","imai k,jiang z","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,causal inference,potential outcomes,principal stratification"
8,transparency and explainability of ai systems: ethical guidelines in practice,"introduction to the special issue on ai fairness, trust, and ethics","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","jr lp,bansal g,melville n,...","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai bias,ai fairness,ai trust,artificial intelligence"
9,transparency and explainability of ai systems: ethical guidelines in practice,exploring bias and fairness in artificial intelligence and machine learning algorithms,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s","khakurel ub,abdelmoumin g,bajracharya a,rawat db","ai systems,ethical guidelines,explainability,quality requirements,transparency","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling"
10,transparency and explainability of ai systems: ethical guidelines in practice,ai & intellectual property: towards an articulated public domain,"balasubramaniam n,kauppinen m,hiekkanen k,kujala s",kop m,"ai systems,ethical guidelines,explainability,quality requirements,transparency","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments"
